Yr-rec,Yr-died,SP,TAG,x,y,E,N,FAM,SPECIES,Status 2020,DBH 2020,PM'20,Flag 2020,OBSERVATIONS 2020,DBH 2014,PM'14,FLAG'14,OBS'14,DBH 2009,PM'09,OBS'09
2009,2020,12,371,4.7,7.5,129.7,107.5,PIPE,piper cf arboreum,D,,,MD,,11.1,1.2,,,10.5,1.2,
2009,,12,372,3.2,9,128.2,109,MORA,Pseudolmedia laevis,A,33.1,1.3,,,28.5,1.3,,,24.9,,
2009,,12,373,0.9,11.4,125.9,111.4,MYRI,Otoba parvifolia,A,33,1.3,,,31.2,1.3,,,30.3,1.4,
2009,,12,374,9.2,3.5,134.2,103.5,ANNO,"annonac ""broad oblong""",A,21.1,1.3,,,17.2,1.3,,,10.8,,
2009,,12,375,11.5,2.5,136.5,102.5,ANNO,Oxandra cf polyantha,A,21.1,1.3,,,21,1.3,,"ex annonac ""small linear""",18.6,,
2009,,12,376,12.8,1.5,137.8,101.5,SAPO,"pouteria ""small short petioles""",A,13.6,1.3,,,12.5,1.3,,,11.9,,
2009,,12,377,12.8,8,137.8,108,ICAC,Calatola venezuelana,A,31.2,1.3,,,30.8,1.3,,,29.5,,
2009,,12,378,13.3,8.4,138.3,108.4,AREC,Euterpe precatoria,A,18,1.3,,,18.6,1.3,,,18.6,,
2009,,12,379,16,3.5,141,103.5,MORA,"Brosimum lactescens ""large""",A,24,1.5,,,22.7,1.5,,,21.4,1.5,
2009,,12,380,15,2,140,102,MALV,Matisia rhombifolia,A,25.3,1.3,,,25.1,1.3,,,24.3,,
2009,,12,381,16,1.5,141,101.5,LECY,Eschweilera coriacea,A,NM,4,,,55,4,,,55,4,"flowering, lecyth ""squat leaves"""
2009,2014,12,382,17.7,2,143,102,INDET,Liana,,,,,,,,MD,,10.4,0.5&1.3,resprout
2009,2020,12,383,18.3,5,143.3,105,INDET,Liana,D,,,MD,,12.6,1.4,,,11.4,1.4,resprout
2009,,12,384,19.4,3.2,144.4,103.2,CANN,Celtis schippii,A,35.8,1.8,,,34.7,1.8,,,34.2,1.8,
2009,,12,385,20.8,2.8,145.8,102.8,MYRI,Otoba parvifolia,A,19.5,1.3,,,19.2,1.3,,,19,,
2009,,12,386,22.9,4.5,147.9,104.5,ANNO,Rollinia pittieri,A,15.2,1.3,,,15.1,1.3,,,14.8,,
2009,,12,387,17.2,11.3,142.2,111.3,MORA,Pseudolmedia laevis,A,14.3,1.3,,,12.5,1.3,,,11.6,,
2009,,12,388,16,12.8,141,112.8,MYRI,Otoba parvifolia,A,31.8,1.3,,,29.4,1.3,,,27.3,,
2009,,12,389,13.1,12.9,138.1,112.9,MELI,Guarea gomma,A,18.3,1.3,,,15.7,1.3,,,13.4,,
2009,,12,390,15.2,14.8,140.2,114.8,APOC,"tabernaemontana ""small elliptic""",A,10.1,1.4,I,,NM,1.4,,not measured 2014 but alive & collected,10.3,1.4,
2009,2014,12,391,15.9,14,141,114,MYRI,Virola calophylla ,,,,,,,,MQP,,40.8,1.5,
2009,,12,392,22,15.6,147,115.6,MALV,Matisia cordata,A,64,1.9,,,55.3,1.9,,,53.3,1.9,
2009,,12,393,23.2,14.5,148.2,114.5,AREC,Iriartea deltoidea,A,22.9,1.3,,,22.9,1.3,,,22.7,,
2009,,12,394,24.8,14.7,149.8,114.7,AREC,Iriartea deltoidea,A,21.4,1.4,,,20.7,1.4,,,20.7,1.4,
2009,2020,12,395,21.8,24,146.8,124,INDET,Liana,D,,,MD,,12.5,1.3,,,11.4,,
2009,,12,396,20.3,23.5,145.3,123.5,CANN,Celtis schippii,A,26.5,1.3,,,25.7,1.3,,,25.3,,
2009,,12,397,17.2,24.5,142.2,124.5,MYRI,Otoba parvifolia,A,28.1,1.3,,,25,1.3,,,22.7,,
2009,,12,398,18,22,143,122,MORA,Brosimum alicastrum,A,16.4,1.3,,,13.6,1.3,,,12.8,,
2009,2020,12,399,14.8,18,139.8,118,URTI,Pourouma minor,D,,,MD,,16.5,1.4,,,14.9,1.4,
2009,,12,400,9.7,23,134.7,123,CANN,Celtis schippii,A,13.8,1.6,,,13.2,1.6,,,12.5,1.6,
2009,,12,401,9.8,22.9,134.8,122.9,MYRI,Otoba parvifolia,A,18.4,1.7,,,17.7,1.7,,,17.9,1.7,
2009,,12,402,9.8,20,134.8,120,MYRI,Otoba parvifolia,A,30.2,1.3,,,28.8,1.3,,,26.6,,
2009,2020,12,403,12.8,20,137.8,120,INDET,Liana,D,,,MD,,11.2,1.2,,,10.5,1.2,
2009,2014,12,404,11.1,18.5,136,119,ANNO,Trigynaea duckei,,,,,,,,MD,,10.9,,echado
2009,2014,12,405,0.8,15.4,126,115,CELA,"maytenus ""small leaves""",,,,,,,,ME,,19.6,1.6,
2009,,12,406,4,18.1,129,118.1,CHRY,"chrysobalanac ""small lanceolate""",A,21,1.3,,,21.2,1.3,,,20.8,,
2009,2014,12,407,4.9,21.2,130,121,URTI,Cecropia cf membranacea,,,,,,,,MD,,15.8,1.8,
2009,,12,408,3.5,21.1,128.5,121.1,ANNO,Trigynaea duckei,A,13.8,1.3,,,13.4,1.3,,,12.4,,
2009,,12,409,1.6,24.7,126.6,124.7,MALV,Apeiba aspera,A,53,1.3,,,45.4,1.3,,,36.7,1.4,
2009,2020,13,410,4.2,0.6,129.2,125.6,URTI,Pourouma cecropiifolia,D,,,MD,,27.2,1.3,,,22.7,1.5,
2009,,13,411,2.2,4.5,127.2,129.5,MELI,Guarea gomma,A,11.8,1.3,,,11.3,1.3,,,10.7,,
2009,2020,13,412,5.3,4.5,130.3,129.5,STAP,Huertea glandulosa,D,,,,,15.3,1.3,,,14.4,1.4,
2009,,13,413,1.1,7.2,126.1,132.2,AREC,Iriartea deltoidea,A,25,1.8,,,24,1.8,,,23.9,1.8,
